id,module,source,type,member,kind,static,signature,owner,runtime_features,profiles,environments,status,owner_beads,test_owner_beads,diagnostic_policies,tests,rule_id,notes
hxc-stdlib-api-v1:16cb2d54ac8932f30666bd253676b53f2bdea281366b4494f714440cd4250350,Array,Array.hx,Array,join,method,no,(sep : String) -> String,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:52b4aafb0f456d769c777ff840088ffa0ec4569c76853307bdc1298337d7897b,Array,Array.hx,Array,keyValueIterator,inline-method,no,() -> haxe.iterators.ArrayKeyValueIterator<Array.T>,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:cac3d4a1762c2443ec67c333b0442a84ead6197c03c8642c3951b67c24e64d74,Array,Array.hx,Array,lastIndexOf,method,no,"(x : Array.T, ?fromIndex : Null<Int>) -> Int",target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:2cc201eb4056387f4fcf41036c8a3962642920570e3a56608641b4bee1c7e9c2,Array,Array.hx,Array,length,field,no,Int,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:725e7f5e827be652ef13114bbdc4a410d7708dac5c744543cd269647f295f965,Array,Array.hx,Array,map,inline-method,no,(f : (Array.T -> map.S)) -> Array<map.S>,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:e8b2715177ab9f56f904dc6f7d4c58617a5d8046d78513277493e012e25e0c85,Array,Array.hx,Array,new,constructor,no,() -> Void,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:9b6be57878d1491524062317471714b54495bbc468ca494948ac1c030c9dc66c,Array,Array.hx,Array,pop,method,no,() -> Null<Array.T>,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:b9ecf928964f697bda6bc46644813511240b814062bf79304fc9f7845d71c85e,Array,Array.hx,Array,push,method,no,(x : Array.T) -> Int,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:ce808f16c564eef151404b52f8ade7958a55c419fa5c26a22f8053261d84019c,Array,Array.hx,Array,remove,method,no,(x : Array.T) -> Bool,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:e61ec6a2f72c2b297f5c18e561635f7e53a1cecdd82d74cab5335c79f89af978,Array,Array.hx,Array,resize,method,no,(len : Int) -> Void,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:6192538040e07b7ee71ac1983de0bc451389463d67f3ed2a38d4bc1655ccbcc3,Array,Array.hx,Array,reverse,method,no,() -> Void,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:43fa953492c3a876f57a51aa485187d23d3d00b3c6616fc922661f1cd512864a,Array,Array.hx,Array,shift,method,no,() -> Null<Array.T>,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:bc5cebb90639c6a5648f9c011fdb90cc993139e585cca1945d8bf63e2b36d9cd,Array,Array.hx,Array,slice,method,no,"(pos : Int, ?end : Null<Int>) -> Array<Array.T>",target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:f08405c507e5af27251329b68eb9a58d6b592c6d25f5e5045fa32a6e86052ccd,Array,Array.hx,Array,sort,method,no,"(f : ((Array.T, Array.T) -> Int)) -> Void",target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:fb71f06231e0f2f975330c42cb76a90c5bc9c2297f0f6145c970818827930f03,Array,Array.hx,Array,splice,method,no,"(pos : Int, len : Int) -> Array<Array.T>",target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:662424a3147c9931b409f420d7e407470f6f414f5b9799779017f4cb638bed35,Array,Array.hx,Array,toString,method,no,() -> String,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:e662ef0c2a71b872439b965df94f45c2f404980523fae927dc85d0e025d7e209,Array,Array.hx,Array,unshift,method,no,(x : Array.T) -> Void,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:79e7a89a55f7439b64a235c740ed39e315214faec1f43c3ee686ada04e97d02e,Class,Class.hx,Class,<type>,abstract,yes,Class,direct-compiler-lowering,,portable|metal,hosted|freestanding|wasi|emscripten,planned,E4.T05,E5.T12,planned-unsupported,,type-identities,A type token or alias alone selects no metadata runtime; reachable inspection and dynamic operations are owned separately.
hxc-stdlib-api-v1:5f9a34ecea43878066a579e72cfab3bb1e5f791818b8324775af3b94bf980e3b,Date,Date.hx,Date,<type>,class,yes,Date,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:2a2e4e8853711011dd4254009a42ed251595e396ccb0c03896bd298c42f59679,Date,Date.hx,Date,fromString,method,yes,(s : String) -> Date,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:b3110c4a8b0dbc615dbee5b91190247e1784af3da5a96208b3e408aabddca29e,Date,Date.hx,Date,fromTime,method,yes,(t : Float) -> Date,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:41e6d95856dd53fb71b5fd7503884bdb1452830b3de6f80bed68a00913f06aaa,Date,Date.hx,Date,getDate,method,no,() -> Int,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:7d04f646da272c19c8a4cb7a5d4b5077fcd79593537f9e71aa3dfa30007c92ca,Date,Date.hx,Date,getDay,method,no,() -> Int,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:677daae2fcd424d28d55bf8bbaf121cca65e0685dd8b74653d6012165d7c77ab,Date,Date.hx,Date,getFullYear,method,no,() -> Int,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:1b0faaa2b000de38efce2af4010b6512163036592295643945e9df5e64bb2fb5,Date,Date.hx,Date,getHours,method,no,() -> Int,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:29d1ed530f22ee3f904dd0f309ad51d4e17b7de09ea304de7a3f2cd8a3551bfd,Date,Date.hx,Date,getMinutes,method,no,() -> Int,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:3afa883ff8903cc654c6c581e4ddd09f777c3a41a8560aa2ac1d255ffb37c4a1,Date,Date.hx,Date,getMonth,method,no,() -> Int,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:b368391542bb5ac37bce9a177df9f86568853d1aae0ac228ba8fa9a437e4f9af,Date,Date.hx,Date,getSeconds,method,no,() -> Int,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:9ec48527dc53ad33e97fa06ec9441484dc1c65574fff4e441130aec5ed280406,Date,Date.hx,Date,getTime,method,no,() -> Float,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:9793df6ba5f1acbb627a84a203c0eed78b24b61b82847065608047d5fd125bd5,Date,Date.hx,Date,getTimezoneOffset,method,no,() -> Int,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:f55666143dea35417b2313b66d5872ff95c39bd36ca5c36b75f812390b64c380,Date,Date.hx,Date,getUTCDate,method,no,() -> Int,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:54becaf7e39be4ac08b21558dcb105da1f1409066f9fbc95644fc77adbbd59b2,Date,Date.hx,Date,getUTCDay,method,no,() -> Int,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:c8594a45b9d4e6097071c69f33eaf292dd8b281b8f3554b1571257d96e11cefc,Date,Date.hx,Date,getUTCFullYear,method,no,() -> Int,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:e66e959ac9f23ef7bf0bb249eb306f4993245ac4a75dcd5d9e32ca99a87087e6,Date,Date.hx,Date,getUTCHours,method,no,() -> Int,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:81621eb45c8d08b78b8b94b7582adf43c40b42f21e4d580b25ee7138a5ef71ea,Date,Date.hx,Date,getUTCMinutes,method,no,() -> Int,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:09c7236c3cd00ea3c2c08dea41ce40f0b36c0feb4f91ffa08a5a6bcd06cf25c1,Date,Date.hx,Date,getUTCMonth,method,no,() -> Int,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:fb2c0181bb8046c6af116833cb5d7d7e538a2fd4134c5c12e7b6ee5441a44586,Date,Date.hx,Date,getUTCSeconds,method,no,() -> Int,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:5f4d24cecdc2cc1d605200620b2ae8c393bb47c01b54ddcc967127d292e67dd6,Date,Date.hx,Date,new,constructor,no,"(year : Int, month : Int, day : Int, hour : Int, min : Int, sec : Int) -> Void",platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:c3f52ba5f4575a3e7143bc5dd1517cf4494f9867d1dc316bfb5ee335c67c5779,Date,Date.hx,Date,now,method,yes,() -> Date,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:84ccc782874bbe8e37d31d223dbc31e6159db3f5d22ac95d02d2443430932aac,Date,Date.hx,Date,toString,method,no,() -> String,platform-adapter,date-time|string,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported|runtime-policy-after-implementation,,date-platform,"Wall clock, local time, timezone, precision, and range require explicit adapter capabilities; freestanding has no implicit clock."
hxc-stdlib-api-v1:eadf1b120bd3fe8821c0dd66ea46974cda7341cff6f50c45c9d686ff7f1828a4,DateTools,DateTools.hx,DateTools,<type>,class,yes,DateTools,direct-compiler-lowering,,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported,,date-source,Formatting and arithmetic remain ordinary compiler-optimized Haxe once Date supplies explicit platform facts.
hxc-stdlib-api-v1:859f9e8f74794a51620fed941e8a08d6128ed083d233b9ed5187a68c749d6df4,DateTools,DateTools.hx,DateTools,days,inline-method,yes,(n : Float) -> Float,direct-compiler-lowering,,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported,,date-source,Formatting and arithmetic remain ordinary compiler-optimized Haxe once Date supplies explicit platform facts.
hxc-stdlib-api-v1:ba4cf193c817e6d29b821b541229a912f4515f0c8b23f21cd5e286ef9628bd3a,DateTools,DateTools.hx,DateTools,delta,inline-method,yes,"(d : Date, t : Float) -> Date",direct-compiler-lowering,,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported,,date-source,Formatting and arithmetic remain ordinary compiler-optimized Haxe once Date supplies explicit platform facts.
hxc-stdlib-api-v1:811207044a737bf782649ad1ed60dba23371f87daa97d01100e8e4a22232686a,DateTools,DateTools.hx,DateTools,format,method,yes,"(d : Date, f : String) -> String",direct-compiler-lowering,,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported,,date-source,Formatting and arithmetic remain ordinary compiler-optimized Haxe once Date supplies explicit platform facts.
hxc-stdlib-api-v1:7371248e7bc2b9b6221437a03c685902d6e16a152d8b32e7a1465ae88226d73b,DateTools,DateTools.hx,DateTools,getMonthDays,method,yes,(d : Date) -> Int,direct-compiler-lowering,,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported,,date-source,Formatting and arithmetic remain ordinary compiler-optimized Haxe once Date supplies explicit platform facts.
hxc-stdlib-api-v1:cd703220376205d0461fcfd48d71e17631c78a84ad1d7bc384c52a4948388dd6,DateTools,DateTools.hx,DateTools,hours,inline-method,yes,(n : Float) -> Float,direct-compiler-lowering,,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported,,date-source,Formatting and arithmetic remain ordinary compiler-optimized Haxe once Date supplies explicit platform facts.
hxc-stdlib-api-v1:0dcb4612f20fc1f4d01d8f6171f7e9ed6517f9cd41fc11d977829c8afd5b06c2,DateTools,DateTools.hx,DateTools,make,method,yes,"(o : { seconds : Int, ms : Float, minutes : Int, hours : Int, days : Int }) -> Float",direct-compiler-lowering,,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported,,date-source,Formatting and arithmetic remain ordinary compiler-optimized Haxe once Date supplies explicit platform facts.
hxc-stdlib-api-v1:412eef002e2c3b495cc13a275ee8eeefda2961b1aa34e4a47f0ee760fd90f972,DateTools,DateTools.hx,DateTools,minutes,inline-method,yes,(n : Float) -> Float,direct-compiler-lowering,,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported,,date-source,Formatting and arithmetic remain ordinary compiler-optimized Haxe once Date supplies explicit platform facts.
hxc-stdlib-api-v1:e410ee1912c99a3a6ae26e672fbf7df222442a676df56005cac563deb52883c4,DateTools,DateTools.hx,DateTools,parse,method,yes,"(t : Float) -> { seconds : Int, ms : Float, minutes : Int, hours : Int, days : Int }",direct-compiler-lowering,,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported,,date-source,Formatting and arithmetic remain ordinary compiler-optimized Haxe once Date supplies explicit platform facts.
hxc-stdlib-api-v1:09673960f9a381b1cb4cb191dbbb4c0c4c49c6d5f117b87aeb9f7dc011f19804,DateTools,DateTools.hx,DateTools,seconds,inline-method,yes,(n : Float) -> Float,direct-compiler-lowering,,portable|metal,hosted|wasi|emscripten,planned,E5.T08,E5.T12,planned-unsupported,,date-source,Formatting and arithmetic remain ordinary compiler-optimized Haxe once Date supplies explicit platform facts.
hxc-stdlib-api-v1:ce1fe7145f28c4275506e392fd43aa52e1e4a70878d072ade754467fe629891d,EReg,EReg.hx,EReg,<type>,class,yes,EReg,runtime-slice,regex|string,portable|metal,hosted|wasi|emscripten,planned,E5.T07,E5.T12,planned-unsupported|runtime-policy-after-implementation,,regular-expressions,"Literal analysis and bounded specialization precede the selected documented regex backend; backend, license, and native facts remain explicit."
hxc-stdlib-api-v1:7fe43c7e99ea2ad8cb752d66dd0f72279ff0d2497ce1fc5bce2f1840924c1cf6,EReg,EReg.hx,EReg,escape,method,yes,(s : String) -> String,runtime-slice,regex|string,portable|metal,hosted|wasi|emscripten,planned,E5.T07,E5.T12,planned-unsupported|runtime-policy-after-implementation,,regular-expressions,"Literal analysis and bounded specialization precede the selected documented regex backend; backend, license, and native facts remain explicit."
hxc-stdlib-api-v1:d773c08c2be66094f3e31546c6a0bf71aeeeb3bd2baf770e32df076f0b1284c4,EReg,EReg.hx,EReg,map,method,no,"(s : String, f : (EReg -> String)) -> String",runtime-slice,regex|string,portable|metal,hosted|wasi|emscripten,planned,E5.T07,E5.T12,planned-unsupported|runtime-policy-after-implementation,,regular-expressions,"Literal analysis and bounded specialization precede the selected documented regex backend; backend, license, and native facts remain explicit."
hxc-stdlib-api-v1:80c8d5f4488ff97cf2681dc42d9db838fa8fe6e7fa7db4b4e1411d0f53999394,EReg,EReg.hx,EReg,match,method,no,(s : String) -> Bool,runtime-slice,regex|string,portable|metal,hosted|wasi|emscripten,planned,E5.T07,E5.T12,planned-unsupported|runtime-policy-after-implementation,,regular-expressions,"Literal analysis and bounded specialization precede the selected documented regex backend; backend, license, and native facts remain explicit."
hxc-stdlib-api-v1:365d41dc922e56d33cdabfcb961cf2268f1c57ca7fa835931b59efc6d1888df2,EReg,EReg.hx,EReg,matchSub,method,no,"(s : String, pos : Int, ?len : Int) -> Bool",runtime-slice,regex|string,portable|metal,hosted|wasi|emscripten,planned,E5.T07,E5.T12,planned-unsupported|runtime-policy-after-implementation,,regular-expressions,"Literal analysis and bounded specialization precede the selected documented regex backend; backend, license, and native facts remain explicit."
hxc-stdlib-api-v1:bbbb75483fa881c150a6e53ad64d3207601a0d930be39e5885974fb2d58dda34,EReg,EReg.hx,EReg,matched,method,no,(n : Int) -> String,runtime-slice,regex|string,portable|metal,hosted|wasi|emscripten,planned,E5.T07,E5.T12,planned-unsupported|runtime-policy-after-implementation,,regular-expressions,"Literal analysis and bounded specialization precede the selected documented regex backend; backend, license, and native facts remain explicit."
